rank,title,score,info,type,episodes,episode_bins
47,Boku no Kokoro no Yabai Yatsu 2nd Season,8.74,"TV (13 eps)         Jan 2024 - Mar 2024         268,934 members",TV,13.0,Medium (13–26)
48,Jujutsu Kaisen 2nd Season,8.74,"TV (23 eps)         Jul 2023 - Dec 2023         1,210,697 members",TV,23.0,Medium (13–26)
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.73,"Movie (1 eps)         Dec 2022 - Dec 2022         334,161 members",Movie,1.0,Short (<=12)
50,Kingdom 4th Season,8.73,"TV (26 eps)         Apr 2022 - Oct 2022         79,893 members",TV,26.0,Medium (13–26)
51,One Piece,8.73,"TV (? eps)         Oct 1999 -          2,546,973 members",TV,,
52,Kimetsu no Yaiba: Yuukaku-hen,8.72,"TV (11 eps)         Dec 2021 - Feb 2022         1,614,071 members",TV,11.0,Short (<=12)
53,Kingdom 5th Season,8.72,"TV (13 eps)         Jan 2024 - Mar 2024         51,650 members",TV,13.0,Medium (13–26)
54,Mushishi Zoku Shou 2nd Season,8.72,"TV (10 eps)         Oct 2014 - Dec 2014         283,709 members",TV,10.0,Short (<=12)
55,Shiguang Dailiren,8.72,"ONA (11 eps)         Apr 2021 - Jul 2021         441,529 members",ONA,11.0,Short (<=12)
56,The First Slam Dunk,8.72,"Movie (1 eps)         Dec 2022 - Dec 2022         66,839 members",Movie,1.0,Short (<=12)
57,86 Part 2,8.72,"TV (12 eps)         Oct 2021 - Mar 2022         587,250 members",TV,12.0,Short (<=12)
58,Chi. Chikyuu no Undou ni Tsuite,8.71,"TV (25 eps)         Oct 2024 - Mar 2025         215,783 members",TV,25.0,Medium (13–26)
59,Hibike! Euphonium 3,8.71,"TV (13 eps)         Apr 2024 - Jun 2024         87,991 members",TV,13.0,Medium (13–26)
60,Mob Psycho 100 III,8.71,"TV (12 eps)         Oct 2022 - Dec 2022         790,527 members",TV,12.0,Short (<=12)
61,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.7,"TV (13 eps)         Jan 2025 - Mar 2025         615,150 members",TV,13.0,Medium (13–26)
62,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,"OVA (4 eps)         Feb 1999 - Sep 1999         287,504 members",OVA,4.0,Short (<=12)
63,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,"TV (13 eps)         Jul 2023 - Sep 2023         364,089 members",TV,13.0,Medium (13–26)
64,Code Geass: Hangyaku no Lelouch,8.7,"TV (25 eps)         Oct 2006 - Jul 2007         2,377,652 members",TV,25.0,Medium (13–26)
65,Guimi Zhi Zhu: Xiaochou Pian,8.7,"ONA (13 eps)         Jun 2025 -          59,215 members",ONA,13.0,Medium (13–26)
66,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,"TV (12 eps)         Jan 2017 - Mar 2017         197,369 members",TV,12.0,Short (<=12)
67,Mushishi Zoku Shou,8.69,"TV (10 eps)         Apr 2014 - Jun 2014         317,538 members",TV,10.0,Short (<=12)
68,Mo Dao Zu Shi: Wanjie Pian,8.68,"ONA (12 eps)         Aug 2021 - Oct 2021         91,383 members",ONA,12.0,Short (<=12)
69,Violet Evergarden,8.68,"TV (13 eps)         Jan 2018 - Apr 2018         1,909,843 members",TV,13.0,Medium (13–26)
70,Great Teacher Onizuka,8.68,"TV (43 eps)         Jun 1999 - Sep 2000         882,959 members",TV,43.0,Long (>26)
71,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,"TV (14 eps)         Oct 2024 - Dec 2024         242,163 members",TV,14.0,Medium (13–26)
72,Hajime no Ippo: New Challenger,8.67,"TV (26 eps)         Jan 2009 - Jul 2009         311,453 members",TV,26.0,Medium (13–26)
73,Howl no Ugoku Shiro,8.67,"Movie (1 eps)         Nov 2004 - Nov 2004         1,430,182 members",Movie,1.0,Short (<=12)
74,Monogatari Series: Off & Monster Season,8.67,"ONA (14 eps)         Jul 2024 - Oct 2024         91,050 members",ONA,14.0,Medium (13–26)
75,Mononoke Hime,8.67,"Movie (1 eps)         Jul 1997 - Jul 1997         1,331,239 members",Movie,1.0,Short (<=12)
76,Mushishi,8.65,"TV (26 eps)         Oct 2005 - Jun 2006         875,847 members",TV,26.0,Medium (13–26)
77,Shiguang Dailiren II,8.65,"ONA (12 eps)         Jul 2023 - Sep 2023         151,309 members",ONA,12.0,Short (<=12)
78,Tian Guan Cifu Er,8.65,"ONA (12 eps)         Oct 2023 - Jan 2024         57,868 members",ONA,12.0,Short (<=12)
79,Shigatsu wa Kimi no Uso,8.64,"TV (22 eps)         Oct 2014 - Mar 2015         2,336,953 members",TV,22.0,Medium (13–26)
