rank,title,score,info,type,episodes,episode_bins
193,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.42,"Movie (1 eps)         Sep 2019 - Sep 2019         458,986 members",Movie,1.0,Short (<=12)
194,Wu Liuqi: Xuanwu Guo Pian,8.42,"ONA (10 eps)         Jan 2021 - May 2021         77,781 members",ONA,10.0,Short (<=12)
195,Saenai Heroine no Sodatekata Fine,8.41,"Movie (1 eps)         Oct 2019 - Oct 2019         197,896 members",Movie,1.0,Short (<=12)
196,Saiki Kusuo no Ψ-nan,8.41,"TV (120 eps)         Jul 2016 - Dec 2016         1,191,928 members",TV,120.0,Long (>26)
197,Saiki Kusuo no Ψ-nan 2,8.41,"TV (24 eps)         Jan 2018 - Jun 2018         689,593 members",TV,24.0,Medium (13–26)
198,Shingeki no Kyojin: Kuinaki Sentaku,8.41,"OVA (2 eps)         Dec 2014 - Apr 2015         546,582 members",OVA,2.0,Short (<=12)
199,Tian Guan Cifu,8.41,"ONA (11 eps)         Oct 2020 - Jan 2021         166,110 members",ONA,11.0,Short (<=12)
200,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.41,"Movie (1 eps)         Aug 2019 - Aug 2019         848,348 members",Movie,1.0,Short (<=12)
201,Mononoke,8.41,"TV (12 eps)         Jul 2007 - Sep 2007         353,240 members",TV,12.0,Short (<=12)
202,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.41,"TV (12 eps)         Apr 2024 - Jul 2024         501,476 members",TV,12.0,Short (<=12)
203,Jujutsu Kaisen 0 Movie,8.4,"Movie (1 eps)         Dec 2021 - Dec 2021         1,129,023 members",Movie,1.0,Short (<=12)
204,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,"TV (12 eps)         Jan 2019 - Mar 2019         1,856,616 members",TV,12.0,Short (<=12)
205,Kamisama Hajimemashita: Kako-hen,8.4,"OVA (4 eps)         Aug 2015 - Aug 2016         178,489 members",OVA,4.0,Short (<=12)
206,Natsume Yuujinchou Roku Specials,8.4,"Special (2 eps)         Sep 2017 - Oct 2017         52,103 members",Special,2.0,Short (<=12)
207,Major S5,8.39,"TV (25 eps)         Jan 2009 - Jun 2009         74,523 members",TV,25.0,Medium (13–26)
208,Ramayana: The Legend of Prince Rama,8.39,"Movie (1 eps)         Jan 1993 - Jan 1993         14,028 members",Movie,1.0,Short (<=12)
209,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,"Movie (1 eps)         Feb 2018 - Feb 2018         470,753 members",Movie,1.0,Short (<=12)
210,Blue Giant,8.39,"Movie (1 eps)         Feb 2023 - Feb 2023         41,535 members",Movie,1.0,Short (<=12)
211,Houseki no Kuni,8.39,"TV (12 eps)         Oct 2017 - Dec 2017         497,284 members",TV,12.0,Short (<=12)
212,Cowboy Bebop: Tengoku no Tobira,8.38,"Movie (1 eps)         Sep 2001 - Sep 2001         398,826 members",Movie,1.0,Short (<=12)
213,Gintama°: Aizome Kaori-hen,8.38,"OVA (2 eps)         Aug 2016 - Nov 2016         90,562 members",OVA,2.0,Short (<=12)
214,Girls Band Cry,8.38,"TV (13 eps)         Apr 2024 - Jun 2024         116,971 members",TV,13.0,Medium (13–26)
215,Josee to Tora to Sakana-tachi,8.38,"Movie (1 eps)         Dec 2020 - Dec 2020         488,906 members",Movie,1.0,Short (<=12)
216,Karakai Jouzu no Takagi-san 3,8.38,"TV (12 eps)         Jan 2022 - Mar 2022         203,707 members",TV,12.0,Short (<=12)
217,Kaze ga Tsuyoku Fuiteiru,8.38,"TV (23 eps)         Oct 2018 - Mar 2019         322,473 members",TV,23.0,Medium (13–26)
218,Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,"Movie (1 eps)         Jan 2019 - Jan 2019         154,696 members",Movie,1.0,Short (<=12)
219,Mahou Shoujo Madoka★Magica,8.38,"TV (12 eps)         Jan 2011 - Apr 2011         1,359,900 members",TV,12.0,Short (<=12)
220,Medalist,8.38,"TV (13 eps)         Jan 2025 - Mar 2025         66,289 members",TV,13.0,Medium (13–26)
221,Tunshi Xingkong 3rd Season,8.38,"ONA (33 eps)         Sep 2022 - Apr 2023         4,140 members",ONA,33.0,Long (>26)
222,Tunshi Xingkong 4th Season,8.38,"ONA (123 eps)         Oct 2023 -          4,788 members",ONA,123.0,Long (>26)
223,Vivy: Fluorite Eye's Song,8.38,"TV (13 eps)         Apr 2021 - Jun 2021         582,612 members",TV,13.0,Medium (13–26)
224,Yuru Camp△ Movie,8.38,"Movie (1 eps)         Jul 2022 - Jul 2022         90,112 members",Movie,1.0,Short (<=12)
225,Violet Evergarden: Recollections,8.37,"Special (1 eps)         Oct 2021 - Oct 2021         40,671 members",Special,1.0,Short (<=12)
226,Xian Ni,8.37,"ONA (128 eps)         Sep 2023 -          7,783 members",ONA,128.0,Long (>26)
227,3-gatsu no Lion,8.37,"TV (22 eps)         Oct 2016 - Mar 2017         712,656 members",TV,22.0,Medium (13–26)
228,Barakamon,8.37,"TV (12 eps)         Jul 2014 - Sep 2014         695,037 members",TV,12.0,Short (<=12)
229,Chihayafuru 2,8.37,"TV (25 eps)         Jan 2013 - Jun 2013         247,132 members",TV,25.0,Medium (13–26)
230,Cross Game,8.37,"TV (50 eps)         Apr 2009 - Mar 2010         130,150 members",TV,50.0,Long (>26)
231,Fruits Basket: Prelude,8.37,"Movie (1 eps)         Feb 2022 - Feb 2022         122,697 members",Movie,1.0,Short (<=12)
232,Haikyuu!! To the Top,8.37,"TV (13 eps)         Jan 2020 - Apr 2020         1,008,892 members",TV,13.0,Medium (13–26)
233,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,"Movie (1 eps)         Aug 2009 - Aug 2009         214,720 members",Movie,1.0,Short (<=12)
234,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,"Movie (1 eps)         Oct 2012 - Oct 2012         214,126 members",Movie,1.0,Short (<=12)
235,Kizumonogatari I: Tekketsu-hen,8.36,"Movie (1 eps)         Jan 2016 - Jan 2016         561,199 members",Movie,1.0,Short (<=12)
236,Shinseiki Evangelion,8.36,"TV (26 eps)         Oct 1995 - Mar 1996         1,938,078 members",TV,26.0,Medium (13–26)
237,Gintama: Shiroyasha Koutan,8.36,"Special (1 eps)         Sep 2008 - Sep 2008         73,733 members",Special,1.0,Short (<=12)
238,Girls & Panzer: Saishuushou Part 4,8.36,"Movie (1 eps)         Oct 2023 - Oct 2023         23,004 members",Movie,1.0,Short (<=12)
239,Baccano!,8.35,"TV (13 eps)         Jul 2007 - Nov 2007         939,560 members",TV,13.0,Medium (13–26)
240,Douluo Dalu 2nd Season,8.35,"ONA (237 eps)         Dec 2018 - Jun 2023         23,041 members",ONA,237.0,Long (>26)
241,Initial D First Stage,8.35,"TV (26 eps)         Apr 1998 - Dec 1998         418,437 members",TV,26.0,Medium (13–26)
242,K-On! Movie,8.35,"Movie (1 eps)         Dec 2011 - Dec 2011         345,708 members",Movie,1.0,Short (<=12)
243,Kaze no Tani no Nausicaä,8.35,"Movie (1 eps)         Mar 1984 - Mar 1984         400,451 members",Movie,1.0,Short (<=12)
244,Kimetsu no Yaiba: Mugen Ressha-hen,8.35,"TV (7 eps)         Oct 2021 - Nov 2021         887,113 members",TV,7.0,Short (<=12)
245,Kono Subarashii Sekai ni Shukufuku wo! 3,8.35,"TV (11 eps)         Apr 2024 - Jun 2024         499,979 members",TV,11.0,Short (<=12)
246,Meitantei Conan Movie 26: Kurogane no Submarine,8.35,"Movie (1 eps)         Apr 2023 - Apr 2023         16,724 members",Movie,1.0,Short (<=12)
247,Mushoku Tensei: Isekai Ittara Honki Dasu,8.35,"TV (11 eps)         Jan 2021 - Mar 2021         1,478,849 members",TV,11.0,Short (<=12)
248,Non Non Biyori Nonstop,8.35,"TV (12 eps)         Jan 2021 - Mar 2021         134,538 members",TV,12.0,Short (<=12)
249,Tensei shitara Slime Datta Ken 2nd Season,8.35,"TV (12 eps)         Jan 2021 - Mar 2021         1,056,850 members",TV,12.0,Short (<=12)
250,Versailles no Bara,8.35,"TV (40 eps)         Oct 1979 - Sep 1980         108,752 members",TV,40.0,Long (>26)
